iso3,country,year,value
SLE,Sierra Leone,2021,3.24386401367188
SGP,Singapore,2021,0.811010360717773
SXM,Sint Maarten (Dutch part),2021,1.43830955028534
SVK,Slovak Republic,2021,0.487999
SVN,Slovenia,2021,0.537477
SLB,Solomon Islands,2021,6.6970753509944
SOM,"Somalia, Fed. Rep.",2021,10268.4174304023
ZAF,South Africa,2021,7.37613821029663
SSD,South Sudan,2021,126.743049621582
ESP,Spain,2021,0.58847
LKA,Sri Lanka,2021,55.5265464782715
KNA,St. Kitts and Nevis,2021,1.84317195415497
LCA,St. Lucia,2021,1.47842586040497
VCT,St. Vincent and the Grenadines,2021,1.44013321399689
SDN,Sudan,2021,85.7226867675781
SUR,Suriname,2021,5.3682279586792
SWE,Sweden,2021,8.363733
CHE,Switzerland,2021,1.056712
SYR,Syrian Arab Republic,2021,417.322418212891
TJK,Tajikistan,2021,2.5442578792572
TZA,Tanzania,2021,762.958374023438
THA,Thailand,2021,11.1481275558472
TLS,Timor-Leste,2021,0.393393218517303
TGO,Togo,2021,202.174468994141
TON,Tonga,2021,1.6181267936974
TTO,Trinidad and Tobago,2021,3.92725038528442
TUN,Tunisia,2021,0.87733256816864
TUR,Turkiye,2021,2.751633
TKM,Turkmenistan,2021,1.50170361995697
TCA,Turks and Caicos Islands,2021,1.09070706367493
TUV,Tuvalu,2021,1.44888778782138
UGA,Uganda,2021,1203.16076660156
UKR,Ukraine,2021,7.302161693573
ARE,United Arab Emirates,2021,2.36256718635559
GBR,United Kingdom,2021,0.668934
USA,United States,2021,1.0
URY,Uruguay,2021,26.462287902832
UZB,Uzbekistan,2021,2591.1123046875
VUT,Vanuatu,2021,110.380247621036
VNM,Viet Nam,2021,7120.01123046875
VIR,Virgin Islands (U.S.),2021,0.907823741436005
PSE,West Bank and Gaza,2021,0.649577372979557
ZMB,Zambia,2021,6.44128704071045
ZWE,Zimbabwe,2021,0.0243634228799343
