iso3,country,year,value
STP,Sao Tome and Principe,2021,20.7104015163031
SAU,Saudi Arabia,2021,3.75
SEN,Senegal,2021,554.530675033104
SRB,Serbia,2021,99.3959416666667
SYC,Seychelles,2021,16.9205225709613
SLE,Sierra Leone,2021,10.4394253194587
SGP,Singapore,2021,1.34348333333333
SXM,Sint Maarten (Dutch part),2021,1.79
SVK,Slovak Republic,2021,0.84549413889045
SVN,Slovenia,2021,0.84549413889045
SLB,Solomon Islands,2021,8.03010299104933
ZAF,South Africa,2021,14.7786782139167
SSD,South Sudan,2021,306.354619937276
ESP,Spain,2021,0.84549413889045
LKA,Sri Lanka,2021,198.764316844656
KNA,St. Kitts and Nevis,2021,2.7
LCA,St. Lucia,2021,2.7
MAF,St. Martin (French part),2021,0.84549413889045
VCT,St. Vincent and the Grenadines,2021,2.7
SDN,Sudan,2021,370.790583333333
SUR,Suriname,2021,18.2386666666667
SWE,Sweden,2021,8.57656671607378
CHE,Switzerland,2021,0.913845833333333
SYR,Syrian Arab Republic,2021,1256.0
TJK,Tajikistan,2021,11.30885
TZA,Tanzania,2021,2297.76422623792
THA,Thailand,2021,31.9770934417717
TLS,Timor-Leste,2021,1.0
TGO,Togo,2021,554.530675033104
TON,Tonga,2021,2.26495960050055
TTO,Trinidad and Tobago,2021,6.75853004916294
TUN,Tunisia,2021,2.79446666666667
TUR,Turkiye,2021,8.85040754928315
TCA,Turks and Caicos Islands,2021,1.0
TUV,Tuvalu,2021,1.33122425957081
UGA,Uganda,2021,3587.05170733909
UKR,Ukraine,2021,27.2861893833333
ARE,United Arab Emirates,2021,3.6725
GBR,United Kingdom,2021,0.727064944688323
USA,United States,2021,1.0
URY,Uruguay,2021,43.554575
UZB,Uzbekistan,2021,10609.464390809
VUT,Vanuatu,2021,109.448333333333
VNM,Viet Nam,2021,23159.7825925926
VIR,Virgin Islands (U.S.),2021,1.0
YEM,"Yemen, Rep.",2021,1028.107754329
ZMB,Zambia,2021,20.0184865859688
ZWE,Zimbabwe,2021,88.5524472597436
